luc,researchid,researchyear,location,Vd_cm,dim,lat,lon,density,temp,press,RH,LAI,Uh,ustar,h,d,z0,z,Lo,stability,wstar
grass,Wesely,1977,US,1.09,0.08,38.84,90.06,1500,276.15,101325,90,2,2.366,0.195,0.875,0.656,0.03,5,100, near neutral,0
grass,Wesely,1977,US,0.74,0.08,38.84,90.06,1500,276.15,101325,90,2,1.675,0.138,0.875,0.656,0.03,5,100, near neutral,0
grass,Wesely,1977,US,0.98,0.08,38.84,90.06,1500,276.15,101325,90,2,1.432,0.118,0.875,0.656,0.03,5,100, near neutral,0
grass,Wesely,1977,US,1.18,0.08,38.84,90.06,1500,276.15,101325,90,2,1.723,0.142,0.875,0.656,0.03,5,100, near neutral,0
grass,Wesely,1977,US,0.83,0.08,38.84,90.06,1500,276.15,101325,90,2,1.65,0.136,0.875,0.656,0.03,5,100, near neutral,0
grass,Wesely,1977,US,0.53,0.08,38.84,90.06,1500,276.15,101325,90,2,1.844,0.152,0.875,0.656,0.03,5,100, near neutral,0
grass,Wesely,1977,US,0.19,0.08,38.84,90.06,1500,276.15,101325,90,2,1.311,0.108,0.875,0.656,0.03,5,100, near neutral,0
grass,Wesely,1977,US,0.14,0.08,38.84,90.06,1500,276.15,101325,90,2,0.667,0.055,0.875,0.656,0.03,5,100, near neutral,0
grass,Wesely,1977,US,0.12,0.08,38.84,90.06,1500,276.15,101325,90,2,0.667,0.055,0.875,0.656,0.03,5,100, near neutral,0
grass,Neumann,1985,US,0.01,0.1,40.11,88.27,1500,276.15,101325,90,4,3.59,0.318,0.4,0.3,0.036,4,-22,N/A,0
grass,Neumann,1985,US,0,0.13,40.11,88.27,1500,276.15,101325,90,4,3.59,0.318,0.4,0.3,0.036,4,-22,N/A,0
grass,Neumann,1985,US,0.02,0.16,40.11,88.27,1500,276.15,101325,90,4,3.59,0.318,0.4,0.3,0.036,4,-22,N/A,0
grass,Neumann,1985,US,0.03,0.2,40.11,88.27,1500,276.15,101325,90,4,3.59,0.318,0.4,0.3,0.036,4,-22,N/A,0
grass,Neumann,1985,US,0.04,0.25,40.11,88.27,1500,276.15,101325,90,4,3.59,0.318,0.4,0.3,0.036,4,-22,N/A,0
grass,Neumann,1985,US,0.03,0.31,40.11,88.27,1500,276.15,101325,90,4,3.59,0.318,0.4,0.3,0.036,4,-22,N/A,0
grass,Neumann,1985,US,0.04,0.39,40.11,88.27,1500,276.15,101325,90,4,3.59,0.318,0.4,0.3,0.036,4,-22,N/A,0
grass,Neumann,1985,US,0.17,0.49,40.11,88.27,1500,276.15,101325,90,4,3.59,0.318,0.4,0.3,0.036,4,-22,N/A,0
grass,Neumann,1985,US,0.16,0.62,40.11,88.27,1500,276.15,101325,90,4,3.59,0.318,0.4,0.3,0.036,4,-22,N/A,0
grass,Neumann,1985,US,0.02,0.83,40.11,88.27,1500,276.15,101325,90,4,3.59,0.318,0.4,0.3,0.036,4,-22,N/A,0
grass,Neumann,1985,US,0.05,1.16,40.11,88.27,1500,276.15,101325,90,4,3.59,0.318,0.4,0.3,0.036,4,-22,N/A,0
grass,Neumann,1985,US,0.28,1.63,40.11,88.27,1500,276.15,101325,90,4,3.59,0.318,0.4,0.3,0.036,4,-22,N/A,0
grass,Neumann,1985,US,0.37,2.28,40.11,88.27,1500,276.15,101325,90,4,3.59,0.318,0.4,0.3,0.036,4,-22,N/A,0
grass,Allen,1991,UK,0,0.48,51.88,359.06,1500,281.65,101325,90,4,2.9,0.13,0.07,0.04,0.01,2,10,stable,0
grass,Allen,1991,UK,0.27,0.48,51.88,359.06,1500,279.05,101325,90,4,2.7,0.14,0.07,0.04,0.01,2,10,stable,0
grass,Allen,1991,UK,0.17,0.48,51.88,359.06,1500,277.75,101325,90,4,2.6,0.17,0.07,0.04,0.01,2,10,stable,0
grass,Allen,1991,UK,0.57,0.48,51.88,359.06,1500,279.65,101325,90,4,2.7,0.19,0.07,0.04,0.01,2,10,stable,0
grass,Allen,1991,UK,-0.04,0.48,51.88,359.06,1500,288.15,101325,90,4,3.9,0.22,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.21,0.48,51.88,359.06,1500,280.95,101325,90,4,1.7,0.11,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.44,0.48,51.88,359.06,1500,283.55,101325,90,4,2.7,0.15,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.11,0.48,51.88,359.06,1500,279.15,101325,90,4,2.8,0.17,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,-0.01,0.48,51.88,359.06,1500,280.45,101325,90,4,3.9,0.22,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.31,0.48,51.88,359.06,1500,284.15,101325,90,4,3.8,0.21,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.18,0.48,51.88,359.06,1500,281.25,101325,90,4,4.2,0.2,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.48,0.48,51.88,359.06,1500,280.75,101325,90,4,3.3,0.21,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.27,0.48,51.88,359.06,1500,281.65,101325,90,4,3.1,0.2,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.07,0.48,51.88,359.06,1500,283.55,101325,90,4,6.7,0.4,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.25,0.48,51.88,359.06,1500,281.85,101325,90,4,5.2,0.28,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.45,0.48,51.88,359.06,1500,281.35,101325,90,4,5.4,0.29,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.08,0.48,51.88,359.06,1500,280.05,101325,90,4,6.3,0.34,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.02,0.48,51.88,359.06,1500,280.75,101325,90,4,4.6,0.29,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.05,0.48,51.88,359.06,1500,279.95,101325,90,4,3.2,0.2,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,-0.02,0.48,51.88,359.06,1500,281.45,101325,90,4,6.1,0.4,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,-0.29,0.48,51.88,359.06,1500,280.65,101325,90,4,5,0.3,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.29,0.48,51.88,359.06,1500,285.85,101325,90,4,5,0.31,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,-0.28,0.48,51.88,359.06,1500,286.15,101325,90,4,6.2,0.35,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,-0.33,0.48,51.88,359.06,1500,284.35,101325,90,4,5.3,0.31,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.02,0.48,51.88,359.06,1500,284.75,101325,90,4,4.8,0.28,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,-0.01,0.48,51.88,359.06,1500,284.95,101325,90,4,4.2,0.26,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.08,0.48,51.88,359.06,1500,281.75,101325,90,4,4.6,0.25,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.19,0.48,51.88,359.06,1500,280.15,101325,90,4,3.5,0.17,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.08,0.48,51.88,359.06,1500,281.75,101325,90,4,4.6,0.25,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.19,0.48,51.88,359.06,1500,280.15,101325,90,4,3.5,0.17,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0,0.48,51.88,359.06,1500,281.75,101325,90,4,4.3,0.27,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,-0.15,0.48,51.88,359.06,1500,282.25,101325,90,4,3.4,0.22,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,-0.09,0.48,51.88,359.06,1500,283.15,101325,90,4,3.5,0.23,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.1,0.48,51.88,359.06,1500,279.45,101325,90,4,4.2,0.23,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0,0.48,51.88,359.06,1500,278.25,101325,90,4,3.3,0.18,0.07,0.04,0.01,2,100,neutral,0
grass,Allen,1991,UK,0.14,0.48,51.88,359.06,1500,290.25,101325,90,4,3.5,0.15,0.07,0.04,0.01,2,-10,unstable,0
grass,Allen,1991,UK,0.09,0.48,51.88,359.06,1500,289.95,101325,90,4,4.2,0.27,0.07,0.04,0.01,2,-10,unstable,0
grass,Allen,1991,UK,0.16,0.48,51.88,359.06,1500,291.95,101325,90,4,4,0.24,0.07,0.04,0.01,2,-10,unstable,0
grass,Allen,1991,UK,0,0.48,51.88,359.06,1500,290.65,101325,90,4,4.2,0.17,0.07,0.04,0.01,2,-10,unstable,0
grass,Allen,1991,UK,0.25,0.48,51.88,359.06,1500,291.65,101325,90,4,3.7,0.21,0.07,0.04,0.01,2,-10,unstable,0
grass,Allen,1991,UK,-0.04,0.48,51.88,359.06,1500,285.65,101325,90,4,3.5,0.19,0.07,0.04,0.01,2,-10,unstable,0
grass,Allen,1991,UK,0.14,0.48,51.88,359.06,1500,283.65,101325,90,4,4.9,0.29,0.07,0.04,0.01,2,-10,unstable,0
grass,Allen,1991,UK,-0.05,0.48,51.88,359.06,1500,283.85,101325,90,4,4.9,0.28,0.07,0.04,0.01,2,-10,unstable,0
grass,Allen,1991,UK,0.13,0.48,51.88,359.06,1500,282.95,101325,90,4,4.9,0.28,0.07,0.04,0.01,2,-10,unstable,0
grass,Allen,1991,UK,-0.08,0.48,51.88,359.06,1500,283.85,101325,90,4,4.1,0.27,0.07,0.04,0.01,2,-10,unstable,0
grass,Allen,1991,UK,0.08,0.48,51.88,359.06,1500,283.45,101325,90,4,3.2,0.2,0.07,0.04,0.01,2,-10,unstable,0
grass,Allen,1991,UK,0.26,0.48,51.88,359.06,1500,282.75,101325,90,4,4.6,0.28,0.07,0.04,0.01,2,-10,unstable,0
grass,Allen,1991,UK,0.1,0.48,51.88,359.06,1500,284.05,101325,90,4,3.1,0.2,0.07,0.04,0.01,2,-10,unstable,0
